region,column,candidate_rank,price_per_unit_usd,unit,begin_range,end_range,sku,location,region_code,storage_class,volume_type,usagetype,operation,group,group_description,from_location,from_location_type,to_location,to_location_type,transfer_type,description
sa-east-1,S3 Standard storage - first tier US$/GB-month,1,0.0405000000,GB-Mo,0,51200,ZNX83R5ZU4NXKACG,South America (Sao Paulo),sa-east-1,General Purpose,Standard,SAE1-TimedStorage-ByteHrs,,,,,,,,,$0.0405 per GB - first 50 TB / month of storage used
sa-east-1,S3 Standard storage - first tier US$/GB-month,2,0.0221000000,GB-Mo,0,Inf,JX8EJ6EW8U55EW87,South America (Sao Paulo),sa-east-1,Infrequent Access,Standard - Infrequent Access,SAE1-TimedStorage-SIA-ByteHrs,,,,,,,,,$0.0221 per GB-Month of storage used in Standard-Infrequent Access
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",1,0.0000070000,Requests,0,Inf,7D3855CHR82MUPGF,South America (Sao Paulo),sa-east-1,,,SAE1-Tables-Requests-INT-Tier1,,S3-API-Tables-INT-Tier1,PUT/COPY/POST requests to Tables INT,,,,,,"$0.007 per 1,000 PUT Requests/COPY/POST Requests to Tables INT"
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",2,0.0040000000,GB,0,Inf,NHN47VRKUNVE2EJ8,South America (Sao Paulo),sa-east-1,,,SAE1-Compute-Checksum-Processed-ZIA-Bytes,,,,,,,,,$0.004 per GB fee for bytes processed to compute checksum in One Zone-Infrequent Access
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",3,0.0000420000,Requests,0,Inf,NVADUARNV2A68KSS,South America (Sao Paulo),sa-east-1,,,SAE1-Requests-GLACIER-Tier1,PutObject,S3-API-GLACIER-Tier1,PUT requests to Glacier,,,,,,"$0.042 per 1,000 PutObject requests to Glacier"
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",4,0.0040000000,GB,0,Inf,VKTJ8FYT6327CBPT,South America (Sao Paulo),sa-east-1,,,SAE1-Compute-Checksum-Processed-Bytes,,,,,,,,,$0.004 per GB fee for bytes processed to compute checksum in Standard
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",5,3.5E-9,Objects,0,Inf,TFH389ZVX7RVTGHW,South America (Sao Paulo),sa-east-1,,,SAE1-Inventory-ObjectsListed,,,,,,,,,$0.0035 per 1 million objects listed in S3 Inventory
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",6,0.0000200000,Requests,0,Inf,E8537A7T8SA4PKFG,South America (Sao Paulo),sa-east-1,,,SAE1-Requests-GIR-Tier1,,S3-API-GIR-Tier1,PUT/COPY/POST or LIST requests to Glacier Instant Retrieval,,,,,,"$0.02 per 1,000 PUT, COPY, POST or LIST requests to Glacier Instant Retrieval"
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",7,0.0000015800,Requests,0,Inf,X468YQRCHB464MU8,South America (Sao Paulo),sa-east-1,,,SAE1-Requests-BACKUP-Tier1,,S3-API-BACKUP-Tier1,PUT/COPY/POST or LIST requests to AWS Backup,,,,,,"$0.00158 per 1,000 PUT Requests/COPY/POST or LIST Requests to AWS Backup"
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",8,0.0000070000,Requests,0,Inf,95JW9RTFM7CNGVSP,South America (Sao Paulo),sa-east-1,,,SAE1-Requests-INT-Tier1,,S3-API-INT-Tier1,PUT/COPY/POST or LIST requests to Intelligent-Tiering,,,,,,"$0.007 per 1,000 PUT, COPY, POST, or LIST requests to Intelligent-Tiering"
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",9,0.0000100000,Requests,0,Inf,BESNNH8PMHKZAW4W,South America (Sao Paulo),sa-east-1,,,SAE1-Requests-ZIA-Tier1,,S3-API-ZIA-Tier1,PUT/COPY/POST or LIST requests to One Zone-Infrequent Access,,,,,,"$0.01 per 1,000 PUT, COPY, POST or LIST requests to One Zone-Infrequent Access"
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",10,0.0000100000,Requests,0,Inf,U4ZTW7WB63598VN6,South America (Sao Paulo),sa-east-1,,,SAE1-Requests-SIA-Tier1,,S3-API-SIA-Tier1,PUT/COPY/POST or LIST requests to Standard-Infrequent Access,,,,,,"$0.01 per 1,000 PUT, COPY, POST or LIST requests to Standard-Infrequent Access"
sa-east-1,"S3 Standard PUT/COPY/POST/LIST requests US$/1,000",11,0.3500000000,GB,0,Inf,PDJ4FFZ2H8B4ACCU,South America (Sao Paulo),sa-east-1,,,SAE1-Vectors-Put-Bytes,PutVectors,,,,,,,,$0.35 per GB fee for bytes put to S3 Vectors
